name,n
Andrena cressonii_cressonii,3
Andrena mariae?,3
Andrena nigrae?,3
Andrena trachandrena_species,3
Anoplius americanus_ambiguus,3
Anthomyiidae BADL6,3
Asilidae BADL100,3
Bombus centralis/flavifrons,3
Braconidae BADL8,3
Braconidae BADL9,3
Cerambycidae BADL4,3
Cerceris cf_deserta,3
Cerceris cf_occipitomaculata,3
Chrysis BADL4,3
Coleoptera BADL105,3
Conopidae,3
Copestylum,3
Copestylum near_marginatum,3
Cryptocheilus terminatus_terminatus,3
Curculionidae BADL101,3
Curculionidae BADL102,3
Deleted,3
Dianthidium heterulkei_heterulkei,3
Dianthidium sp_parvum1,3
Diodontus bidentatus_or_occidentalis,3
Diptera BADL111,3
Diptera BADL126,3
Diptera BADL141,3
Diptera BADL147,3
Diptera BADL5,3
Epicauta BADL4,3
Euodynerus BADL102,3
Euodynerus hidalgo_hidalgo,3
Evylaeus 1colev,3
Evylaeus 3colev,3
Formicidae BADL100,3
Formicidae BADL101,3
Formicidae BADL103,3
Habropoda nov_species,3
Halictus species_A,3
Hemaris BADL100,3
Heteroptera BADL3,3
Hoplisoides nebulosus_nebulosus,3
Hylaeus 13WEST,3
Hylaeus hyalinatus/punctatus,3
Lasioglossum 13col,3
Lasioglossum 17_Cal,3
Lasioglossum 19wy_evylaeus,3
Lasioglossum 1VIR,3
Lasioglossum 1las,3
Lasioglossum 2 UTEV,3
Lasioglossum 20EV,3
Lasioglossum 21WASH,3
Lasioglossum 22EV,3
Lasioglossum 23COL,3
Lasioglossum 27las,3
Lasioglossum 28CAL,3
Lasioglossum 2WYUT,3
Lasioglossum 31CAL,3
Lasioglossum 33LAS,3
Lasioglossum 34LAS,3
Lasioglossum 35 UT,3
Lasioglossum 35LAS,3
Lasioglossum 37UT,3
Lasioglossum 39LAS,3
Lasioglossum 41UT,3
Lasioglossum 5WY,3
Lasioglossum 6 UTEV,3
Lasioglossum 6wy,3
Lasioglossum 7WyEv,3
Lasioglossum AA,3
Lasioglossum Dialictus_group,3
Lasioglossum Species,3
Lasioglossum affiliated_with_comulum,3
Lasioglossum cf_eophilium,3
Lasioglossum cf_perdifficile,3
Lasioglossum cf_sedi,3
Lasioglossum lineatulum/smilacinae,3
Lasioglossum smilacinae?,3
Lasioglossum yell9,3
Leptochilus BADL1,3
Lipotriches near_eardleyi,3
Megachile near_brevis,3
Megachile near_texana,3
Melissodes BADL11,3
Melissodes agilis/nivea,3
Melissodes boltoniae/fumosa,3
Melissodes communis?,3
Melissodes near_bimaculatus,3
Melissodes species_A,3
Mischocyttarus mexicanus_cubicola,3
Miscophus,3
Noctuidae BADL1,3
Nomada 12nom,3
Nomada 15nom,3
Nomada fragariae?,3
Nomada gracilis?,3
Nomada illinoensis?,3
Nomada luteola/sulphurata,3
Nomada near_Inepta/denticulata,3
Nomada near_texana1,3
Nomada species_B,3
Oedipedinae BADL1,3
Osmia new_species_4,3
Osmia new_species_6_swollen_F11,3
Osmia trevoris?,3
Parasitica BADL101,3
Parasitica BADL103,3
Pepsinae BADL2,3
Perdita albihirta_geraeae,3
Perdita wilmattae_stanleyae,3
Philanthus cf. basilaris,3
Podalonia BADL1,3
Pompilidae BADL102,3
Pompilinae BADL3,3
Protandrena labrosiformis?,3
Ramphomyia BADL1,3
Sphecodes 12sph,3
Sphecodes 31sph,3
Sphecodes 8sph,3
Sphecodes atlanis/cressonii,3
Sphecodes sph2,3
Sphecodes sphca1,3
Sphecodes sphne2,3
Sphecodes sphwy8,3
Stenodynerus BADL11,3
Stenodynerus BADL12,3
Stenodynerus BADL13,3
Tachinidae BADL2,3
Tachinidae BADL5,3
Tachysphex BADL10,3
Tachysphex BADL14,3
Tachytes cf. floridanus,3
Zethus spinipes_variegatus,3
calliopsis andreniformis,3
lasioglossum pilosum,3
no ID,3
Acmaeodera (Paracmaeodera)_species,2
Ageniella utilis_delicata,2
Ammosphex cf_angularis,2
Ammosphex dakota/michiganensis,2
Ammosphex sp_near_anomalus,2
Ancistrocerus cf_albophaleratus,2
Andrena (Melandrena),2
Andrena (Scaphandrena),2
Andrena (trachandrena),2
Andrena Logan_species_15,2
Andrena Logan_species_5,2
Andrena Logan_species_6,2
Andrena Logan_species_8,2
Andrena WY3,2
Andrena algida?,2
Andrena bisalicis/w-scripta,2
Andrena cf_merriami,2
Andrena ilicis?,2
Andrena morrisonella?,2
Andrena nasonii?,2
Andrena personata?,2
Andrena prunorum_prunorum,2
Andrena trachandrena_interesting,2
Andrena uvulariae?,2
Andrena_Trachandrena,2
Anoplius BADL1,2
Anoplius cf_illinoensis,2
Anoplius cf_stenotus,2
Anthidium cf_emarginatum,2
Anthophora species_1,2
Aphoebantus BADL1,2
Aporinellus cf_fasciatus,2
Ascia monuste_eubotea,2
Ashmeadiella CA_1,2
Autographa near_precationis,2
Bombus,2
Bombus Perplexus,2
Bombus griseocollis?,2
Bombus lucorum_complex,2
Bombus vagans/sandersoni,2
Bombus vagans?,2
Bombyliidae BADL100,2
Bothynostethus cf_distinctus,2
Braconidae BADL10,2
Braconidae BADL11,2
Carabidae BADL101,2
Carpophilus BADL100,2
Ceratina species_E,2
Cerceris BADL101,2
Cheloninae BADL11,2
Chrysanthrax BADL1,2
Chrysanthrax BADL4,2
Chrysididae BADL101,2
Chrysis BADL2,2
Coccinellidae species_larva,2
Coleoptera BADL108,2
Colletes americanus?,2
Colletes eulophi/kincaidii,2
Collops bipunctatus?,2
Conopidae BADL1,2
Copestylum near_vittatum,2
Crabro BADL103,2
Crabro BADL12,2
Cryptocheilus terminatus_subopacus,2
Delta higletti_rendalli,2
Diodontus BADL1,2
Dipogon brevis_brevis,2
Diptera BADL102,2
Diptera BADL109,2
Diptera BADL115,2
Diptera BADL121,2
Diptera BADL125,2
Diptera BADL130,2
Diptera BADL149,2
Diptera BADL2,2
Ectemnius excavatus_banksi,2
Ectemnius rufipes_rufipes,2
Entypus unifasciatus_unifasciatus,2
Epicauta BADL3,2
Episyron conterminus_posterus,2
Euodynerus boreoorientalis_hidalgo,2
Eurema elathea?,2
Evagetes ?scudderi,2
Evylaeus 7colev,2
Fly BADL157,2
Formica BADL1,2
Formicidae BADL102,2
Formicidae BADL104,2
Formicidae BADL105,2
Hedychrum BADL1,2
Hesperiidae species_1,2
Hesperiidae species_2,2
Heterocera BADL103,2
Heteroptera,2
Heteroptera BADL2,2
Heteroptera BADL4,2
Hylaeus 4WEST,2
Hylaeus 8WEST,2
Hylaeus annulatus?,2
Hylaeus floridanus?,2
Hylaeus nelumbonis/ornatus,2
Hyparpax near_aurora,2
Ichneumonidae BADL1,2
Isodontia BADL100,2
Lasioglossum 10WYEV,2
Lasioglossum 11wy,2
Lasioglossum 12 UT,2
Lasioglossum 12_Wy_Evylaeus,2
Lasioglossum 12las,2
Lasioglossum 13LAS,2
Lasioglossum 13cal_evylaeus,2
Lasioglossum 14LAS,2
Lasioglossum 15LAS,2
Lasioglossum 15UT,2
Lasioglossum 16LAS,2
Lasioglossum 16col,2
Lasioglossum 17WYEV,2
Lasioglossum 18wy_evylaeus,2
Lasioglossum 1nev,2
Lasioglossum 1nevaz,2
Lasioglossum 2 NEV WY,2
Lasioglossum 20LAS,2
Lasioglossum 20WY,2
Lasioglossum 22 UT,2
Lasioglossum 22COL,2
Lasioglossum 22LAS,2
Lasioglossum 23EV,2
Lasioglossum 23ut,2
Lasioglossum 24ut,2
Lasioglossum 25LAS,2
Lasioglossum 27 CAL,2
Lasioglossum 29UT,2
Lasioglossum 2EV,2
Lasioglossum 30UT,2
Lasioglossum 32CAL,2
Lasioglossum 34UT,2
Lasioglossum 35CAL,2
Lasioglossum 35WY,2
Lasioglossum 3las,2
Lasioglossum 4 UTEV,2
Lasioglossum 41LAS,2
Lasioglossum 48UT,2
Lasioglossum 4las,2
Lasioglossum 5EV,2
Lasioglossum 5UT,2
Lasioglossum 5wy_evylaeus,2
Lasioglossum 6EV,2
Lasioglossum 7las,2
Lasioglossum 8 CALEV,2
Lasioglossum 8las,2
Lasioglossum 8wy,2
Lasioglossum 8wy_evylaeus,2
Lasioglossum 9A,2
Lasioglossum 9cal,2
Lasioglossum affiliated_with_grinnelli,2
Lasioglossum affiliated_with_hunteri,2
Lasioglossum affiliated_with_tenax,2
Lasioglossum cal1,2
Lasioglossum cf_birkmanni,2
Lasioglossum cf_macroprosopum,2
Lasioglossum dreisbachi?,2
Lasioglossum katherineae?,2
Lasioglossum leucocomus?,2
Lasioglossum near_az_undescribed_ytegula,2
Lasioglossum near_marinum,2
Lasioglossum near_pacificum,2
Lasioglossum near_pilosum,2
Lasioglossum near_planatum,2
Lasioglossum obnubilum=lilliputense?,2
Lasioglossum species_dialictus,2
Lasioglossum species_new red,2
Lasioglossum subviridatum?,2
Lasioglossum weemsi?,2
Lasioglossum yell12,2
Leptochilus BADL2,2
Liris sp. A,2
Megachile cf_pilidens,2
Megachile species_2,2
Meliscaeva BADL1,2
Melissodes BADL4,2
Melissodes druriellus?,2
Melissodes niveus?,2
Meloidae BADL102,2
Meloidae BADL2,2
Micrandrena,2
Microlepidoptera BADL1,2
Mimesa BADL4,2
Mischacyttaras mexicanus_cubicola,2
Muscidae BADL3,2
Myrmicinae BADL1,2
Myzinum berlyi_patei,2
Nomada 13nom,2
Nomada 18nom,2
Nomada 22nom,2
Nomada 25nom,2
Nomada 27nom,2
Nomada 36nom,2
Nomada 37nom,2
Nomada 3nom,2
Nomada 6nom,2
Nomada 9nom,2
Nomada luteoloides?,2
Nomada mr_2,2
Nomada near_depressa,2
Nomada near_texana2,2
Nomada parva?,2
Nomada species_A,2
Osmia (Melanosmia),2
Osmia BADL15,2
Osmia CA_5,2
Osmia UT_4,2
Osmia WY_3,2
Osmia WY_5,2
Osmia near_nigrifrons,2
Osmia neocyanopoda?,2
Osmia new_species_1,2
Osmia new_species_7_swollen_F10,2
Osmia nigrifrons?,2
Parancistrocerus or Stenodynerus BADL100,2
Paranthidium jugatorium_perpictum,2
Perdita BADL4,2
Philanthus BADL3,2
Philanthus BADL4,2
Philanthus BADL6,2
Phymatinae BADL100,2
Pluto BADL1,2
Poecilopompilus algidus_gundlachii,2
Polistes cf. fuscatus,2
Polistes dorsalis_californicus,2
Pompilidae BADL103,2
Pompilidae BADL106,2
Pompilinae BADL1,2
Pompilinae BADL4,2
Priocnemis navajo_occidentis,2
Psorthaspis cf_mariae,2
Salticidae BADL1,2
Solierella cf._clypeata,2
Solierella cf_apache/inermis,2
Sphecid species_2,2
Sphecodes 1sph,2
Sphecodes 25sph,2
Sphecodes 27sph,2
Sphecodes 32sph,2
Sphecodes 38sph,2
Sphecodes 5sph,2
Sphecodes 7sph,2
Sphecodes fattigi?,2
Sphecodes mandibularis?,2
Sphecodes near_coronus,2
Sphecodes near_crawfordi,2
Sphecodes near_cressonii,2
Sphecodes near_pimpinellae,2
Sphecodes species_A,2
Sphecodes sphca2,2
Sphecodes sphut1,2
Sphecodes sphut3,2
Sphecodes sphwy6,2
Stelis affiliated_foederalis,2
Stenodynerus BADL16,2
Stenodynerus histrionalis_paenevagus,2
Stenodynerus oculeus_illinoensis,2
Stictiella pulchella_serrata,2
Tachinidae BADL15,2
Tachinidae BADL17,2
Tachinidae BADL18,2
Tachinidae BADL19,2
Tachypompilus unicolor_cerinus,2
Tachysphex BADL100,2
Tachysphex BADL11,2
Tachysphex cf. huchiti,2
Tachysphex cf._crassiformis,2
Tachysphex clavatum_clavatum,2
Toxophora BADL1,2
Triepeolus obliteratus?,2
Trypoxylon clavatum_clavatum,2
ceratina calcarata,2
hoplitis spoliata,2
lasioglossum heterognathus,2
lasioglossum vierecki,2
melissodes interesting,2
sphecodes species,2
Acmaeodera BADL100,1
Ageniella ?mintaka,1
Ageniella accepta_group,1
Ageniella cf_joannae,1
Ageniella utilis_utilis,1
Agraulis vanillae_vanillae,1
Alydinae BADL100,1
Ammophila BADL1,1
Ammophila BADL101,1
Ammophila pruinosa_complex,1
Ammosphex sp_near_parvulus,1
Anartia jatrophe_guantanamo,1
Ancistrocerus cf_catskill_group,1
Ancistrocerus cf_species_A,1
Ancistrocerus nr_Catskill,1
Andrena (Micrandrena),1
Andrena BADL4,1
Andrena Logan_species_18,1
Andrena Logan_species_3,1
Andrena WY5,1
Andrena WY6,1
Andrena WY7,1
Andrena WY8,1
Andrena WY9,1
Andrena asteris?,1
Andrena barbilabris?,1
Andrena carlini/vicina,1
Andrena cf_nivalis,1
Andrena cf_w-scripta,1
Andrena cornelli?,1
